Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1,0.5,3.3,5.1,2.1,0.4,1.2,0.2,-3.4,-3.4,4.2,7.0,-1.5,-0.7,-1.5,-0.7,-3.5,-9.9,-1.7,-4.2,-8.5,-4.2,-2.0,-0.4,2.0,2.7,2.5,1.8,0.8
2,-0.5,1.3,3.1,-0.1,-4.4,-3.5,-5.3,-9.1,-2.1,2.6,1.1,-0.3,-7.1,-12.9,-3.2,1.2,-1.7,2.4,-2.5,-6.5,-3.7,0.9,3.8,4.6,3.8,0.5,-3.7,-5.9
3,-2.2,3.5,3.0,4.1,1.8,1.6,-1.0,4.4,7.7,5.6,0.5,3.4,5.7,2.4,0.3,0.7,4.9,0.9,4.3,5.7,-4.1,-0.9,2.2,3.4,3.9,7.4,4.9,4.7
4,6.2,9.1,7.5,7.7,7.6,6.6,7.7,10.2,6.0,4.6,4.5,7.2,8.6,3.5,2.0,1.6,2.7,3.6,5.9,2.6,3.0,2.6,2.3,7.0,6.5,8.8,9.6,7.6
5,11.7,9.5,13.9,7.8,5.1,7.9,7.5,2.3,2.5,5.4,4.6,4.4,5.4,7.5,11.5,12.1,11.5,11.8,13.1,13.2,11.4,13.6,15.9,17.0,20.1,19.9,19.8,18.5
6,16.3,16.6,20.0,19.0,19.5,20.3,17.1,16.4,18.7,21.0,18.7,15.1,13.2,13.8,16.3,15.7,17.3,19.5,22.4,23.5,23.2,23.9,21.3,16.5,18.0,17.6,22.5,21.3
7,23.0,29.3,25.7,23.3,24.0,23.2,26.4,26.6,26.8,25.7,25.0,22.8,22.4,21.6,22.5,23.8,24.5,25.2,23.4,23.8,19.6,22.9,22.5,23.0,23.7,25.6,26.2,23.3
8,22.0,22.9,20.9,20.9,19.3,18.4,19.8,21.1,21.9,23.7,22.8,22.7,23.3,24.6,22.7,22.5,21.4,20.6,19.3,19.5,24.4,23.7,24.9,26.8,22.9,17.8,23.7,19.9
9,22.9,23.7,20.9,19.3,18.0,16.3,19.0,16.2,16.3,17.8,13.9,16.8,21.0,14.4,13.4,18.2,15.1,12.4,10.2,13.1,14.5,14.5,20.5,17.9,17.6,19.6,20.5,19.6
10,12.7,11.7,8.5,10.3,11.3,11.8,14.5,9.8,9.3,15.6,9.1,12.0,13.9,11.8,12.3,8.7,9.3,10.4,7.8,9.5,12.5,10.6,15.1,6.8,5.6,6.6,5.9,8.5
11,6.5,3.5,6.6,10.0,12.3,11.9,12.3,12.2,11.1,14.5,12.6,6.1,7.7,5.0,8.4,4.2,0.0,-0.4,8.2,9.7,4.6,1.9,2.2,3.5500000000000003,4.9,9.0,6.7,5.8
12,-0.5,2.1,3.6,3.2,-0.3,-1.5,-1.8,-1.2,2.8,4.1,4.6,5.7,3.5,0.6,-4.1,-4.8,-5.1,-3.3,2.0,3.1,2.1,2.4,4.6,3.0,-1.8,-2.7,0.8,1.7
